example_id                                                            | status | run_time        |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:1]              | passed | 0.01437 seconds |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:2]              | passed | 0.01448 seconds |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:3]              | passed | 0.0164 seconds  |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:4]              | passed | 0.01585 seconds |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:5]              | passed | 0.0429 seconds  |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:6]              | passed | 0.01803 seconds |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:7]              | passed | 0.01469 seconds |
./spec/models/bscf/core/marketplace_listing_spec.rb[1:8]              | passed | 0.0157 seconds  |
./spec/models/bscf/core/order_item_spec.rb[1:1]                       | passed | 0.09049 seconds |
./spec/models/bscf/core/order_item_spec.rb[1:2]                       | passed | 1.1 seconds     |
./spec/models/bscf/core/order_item_spec.rb[1:3]                       | passed | 0.06883 seconds |
./spec/models/bscf/core/order_item_spec.rb[1:4]                       | passed | 0.13022 seconds |
./spec/models/bscf/core/order_item_spec.rb[1:5]                       | passed | 0.062 seconds   |
./spec/models/bscf/core/order_item_spec.rb[1:6]                       | passed | 0.06068 seconds |
./spec/models/bscf/core/order_item_spec.rb[1:7]                       | passed | 0.05686 seconds |
./spec/models/bscf/core/order_item_spec.rb[1:8:1]                     | passed | 0.13299 seconds |
./spec/models/bscf/core/order_spec.rb[1:1]                            | passed | 0.01922 seconds |
./spec/models/bscf/core/order_spec.rb[1:2]                            | passed | 0.01662 seconds |
./spec/models/bscf/core/order_spec.rb[1:3]                            | passed | 0.01714 seconds |
./spec/models/bscf/core/order_spec.rb[1:4]                            | passed | 0.01857 seconds |
./spec/models/bscf/core/order_spec.rb[1:5]                            | passed | 0.01857 seconds |
./spec/models/bscf/core/order_spec.rb[1:6]                            | passed | 0.01915 seconds |
./spec/models/bscf/core/order_spec.rb[1:7]                            | passed | 0.02128 seconds |
./spec/models/bscf/core/order_spec.rb[1:8:1]                          | passed | 0.05509 seconds |
./spec/models/bscf/core/product_spec.rb[1:1]                          | passed | 0.0073 seconds  |
./spec/models/bscf/core/product_spec.rb[1:2]                          | passed | 0.016 seconds   |
./spec/models/bscf/core/product_spec.rb[1:3]                          | passed | 0.0125 seconds  |
./spec/models/bscf/core/product_spec.rb[1:4]                          | passed | 0.01245 seconds |
./spec/models/bscf/core/product_spec.rb[1:5]                          | passed | 0.00818 seconds |
./spec/models/bscf/core/product_spec.rb[1:6]                          | passed | 0.0085 seconds  |
./spec/models/bscf/core/product_spec.rb[1:7:1:1]                      | passed | 0.00275 seconds |
./spec/models/bscf/core/product_spec.rb[1:7:2:1]                      | passed | 0.00553 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:1]                   | passed | 0.03505 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:2]                   | passed | 0.0307 seconds  |
./spec/models/bscf/core/quotation_item_spec.rb[1:3]                   | passed | 0.03217 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:4]                   | passed | 0.0316 seconds  |
./spec/models/bscf/core/quotation_item_spec.rb[1:5]                   | passed | 0.03474 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:6]                   | passed | 0.03108 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:7]                   | passed | 0.03201 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:8]                   | passed | 0.03196 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:9]                   | passed | 0.02738 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:10:1]                | passed | 0.03414 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:10:2]                | passed | 0.03693 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:11:1]                | passed | 0.00752 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:11:2]                | passed | 0.00757 seconds |
./spec/models/bscf/core/quotation_item_spec.rb[1:11:3]                | passed | 0.00763 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:1]                        | passed | 0.011 seconds   |
./spec/models/bscf/core/quotation_spec.rb[1:2]                        | passed | 0.01757 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:3]                        | passed | 0.01152 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:4]                        | passed | 0.01272 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:5]                        | passed | 0.01189 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:6]                        | passed | 0.0114 seconds  |
./spec/models/bscf/core/quotation_spec.rb[1:7]                        | passed | 0.0123 seconds  |
./spec/models/bscf/core/quotation_spec.rb[1:8]                        | passed | 0.01086 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:9]                        | passed | 0.01115 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:10]                       | passed | 0.01089 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:11]                       | passed | 0.01089 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:12:1]                     | passed | 0.01237 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:13:1]                     | passed | 0.01096 seconds |
./spec/models/bscf/core/quotation_spec.rb[1:14:1]                     | passed | 0.04726 seconds |
./spec/models/bscf/core/request_for_quotation_spec.rb[1:1]            | passed | 0.00547 seconds |
./spec/models/bscf/core/request_for_quotation_spec.rb[1:2]            | passed | 0.00592 seconds |
./spec/models/bscf/core/request_for_quotation_spec.rb[1:3]            | passed | 0.00625 seconds |
./spec/models/bscf/core/rfq_item_spec.rb[1:1]                         | passed | 0.01368 seconds |
./spec/models/bscf/core/rfq_item_spec.rb[1:2]                         | passed | 0.0163 seconds  |
./spec/models/bscf/core/rfq_item_spec.rb[1:3]                         | passed | 0.01394 seconds |
./spec/models/bscf/core/rfq_item_spec.rb[1:4]                         | passed | 0.01503 seconds |
./spec/models/bscf/core/role_spec.rb[1:1]                             | passed | 0.00214 seconds |
./spec/models/bscf/core/role_spec.rb[1:2]                             | passed | 0.00323 seconds |
./spec/models/bscf/core/role_spec.rb[1:3]                             | passed | 0.00404 seconds |
./spec/models/bscf/core/role_spec.rb[1:4]                             | passed | 0.00707 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:1]                     | passed | 0.0072 seconds  |
./spec/models/bscf/core/user_profile_spec.rb[1:2]                     | passed | 0.02319 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:3]                     | passed | 0.00835 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:4]                     | passed | 0.00738 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:5]                     | passed | 0.00758 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:6]                     | passed | 0.00646 seconds |
./spec/models/bscf/core/user_profile_spec.rb[1:7]                     | passed | 0.00768 seconds |
./spec/models/bscf/core/user_role_spec.rb[1:1]                        | passed | 0.01316 seconds |
./spec/models/bscf/core/user_role_spec.rb[1:2]                        | passed | 0.00644 seconds |
./spec/models/bscf/core/user_role_spec.rb[1:3]                        | passed | 0.00697 seconds |
./spec/models/bscf/core/user_spec.rb[1:1]                             | passed | 0.0048 seconds  |
./spec/models/bscf/core/user_spec.rb[1:2]                             | passed | 0.00524 seconds |
./spec/models/bscf/core/user_spec.rb[1:3]                             | passed | 0.00911 seconds |
./spec/models/bscf/core/user_spec.rb[1:4]                             | passed | 0.00537 seconds |
./spec/models/bscf/core/user_spec.rb[1:5]                             | passed | 0.00534 seconds |
./spec/models/bscf/core/user_spec.rb[1:6]                             | passed | 0.0065 seconds  |
./spec/models/bscf/core/user_spec.rb[1:7]                             | passed | 0.0047 seconds  |
./spec/models/bscf/core/user_spec.rb[1:8]                             | passed | 0.0043 seconds  |
./spec/models/bscf/core/user_spec.rb[1:9]                             | passed | 0.00747 seconds |
./spec/models/bscf/core/user_spec.rb[1:10:1]                          | passed | 0.00523 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:1:1]                        | passed | 0.01018 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:1]                        | passed | 0.0045 seconds  |
./spec/models/bscf/core/vehicle_spec.rb[1:2:2]                        | passed | 0.00896 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:3]                        | passed | 0.00466 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:4]                        | passed | 0.00443 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:5]                        | passed | 0.0049 seconds  |
./spec/models/bscf/core/vehicle_spec.rb[1:2:6]                        | passed | 0.00397 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:7]                        | passed | 0.0044 seconds  |
./spec/models/bscf/core/vehicle_spec.rb[1:2:8]                        | passed | 0.00392 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:9]                        | passed | 0.00506 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:2:10]                       | passed | 0.00505 seconds |
./spec/models/bscf/core/vehicle_spec.rb[1:3:1]                        | passed | 0.00396 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:1]                  | passed | 0.00725 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:2]                  | passed | 0.0128 seconds  |
./spec/models/bscf/core/virtual_account_spec.rb[1:3]                  | passed | 0.01075 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:4]                  | passed | 0.0103 seconds  |
./spec/models/bscf/core/virtual_account_spec.rb[1:5]                  | passed | 0.01028 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:6]                  | passed | 0.01224 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:7]                  | passed | 0.00702 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:8]                  | passed | 0.00776 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:9]                  | passed | 0.00789 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:10]                 | passed | 0.01099 seconds |
./spec/models/bscf/core/virtual_account_spec.rb[1:11]                 | passed | 0.00745 seconds |
